URL,Page Type,City,Area,Service,Primary Intent,Index Status,Canonical,Sitemap,Action,Reason
https://fiixup.in/,Homepage,,,,24/7 Doorstep Car & Bike Repair Services | Fiixup,"index,follow",https://fiixup.in,Yes,KEEP,
https://fiixup.in/about,Utility,,,,Utility,"index,follow",https://fiixup.in/about,Yes,KEEP,"Static/framework route, not seo_pages-backed"
https://fiixup.in/bangalore,City Hub,bangalore,,,in bangalore,"index,follow",https://fiixup.in/bangalore,Yes,KEEP,
https://fiixup.in/bangalore/banashankari,Locality Hub,bangalore,banashankari,,in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/24-7-roadside-assistance,Locality Service,bangalore,banashankari,24-7-roadside-assistance,24 7 roadside assistance in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/24-7-roadside-assistance,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/bike-garage-near-me,Locality Service,bangalore,banashankari,bike-garage-near-me,bike garage near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/bike-garage-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/bike-mechanic-near-me,Locality Service,bangalore,banashankari,bike-mechanic-near-me,bike mechanic near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/bike-mechanic-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/bike-towing-near-me,Locality Service,bangalore,banashankari,bike-towing-near-me,bike towing near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/bike-towing-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/car-breakdown-service-near-me,Locality Service,bangalore,banashankari,car-breakdown-service-near-me,car breakdown service near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/car-breakdown-service-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/car-garage-near-me,Locality Service,bangalore,banashankari,car-garage-near-me,car garage near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/car-garage-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/car-mechanic-near-me,Locality Service,bangalore,banashankari,car-mechanic-near-me,car mechanic near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/car-mechanic-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/car-towing-near-me,Locality Service,bangalore,banashankari,car-towing-near-me,car towing near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/car-towing-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/mechanic-near-me,Locality Service,bangalore,banashankari,mechanic-near-me,mechanic near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/mechanic-near-me,Yes,KEEP,
https://fiixup.in/bangalore/banashankari/puncture-repair-near-me,Locality Service,bangalore,banashankari,puncture-repair-near-me,puncture repair near me in banashankari,"index,follow",https://fiixup.in/bangalore/banashankari/puncture-repair-near-me,Yes,KEEP,
https://fiixup.in/bangalore/bannerghatta-road,Locality Hub,bangalore,bannerghatta-road,,in bannerghatta road,"index,follow",https://fiixup.in/bangalore/bannerghatta-road,Yes,KEEP,
https://fiixup.in/bangalore/bellandur,Locality Hub,bangalore,bellandur,,in bellandur,"index,follow",https://fiixup.in/bangalore/bellandur,Yes,KEEP,
https://fiixup.in/bangalore/bike-garage-near-me,Locality Service,bangalore,,bike-garage-near-me,bike garage near me in bangalore,"index,follow",https://fiixup.in/bangalore/bike-garage-near-me,Yes,KEEP,
https://fiixup.in/bangalore/bike-jump-start-bangalore,Locality Service,bangalore,,bike-jump-start-bangalore,bike jump start bangalore in bangalore,"index,follow",https://fiixup.in/bangalore/bike-jump-start-bangalore,Yes,KEEP,
https://fiixup.in/bangalore/bike-mechanic-near-me,Locality Service,bangalore,,bike-mechanic-near-me,bike mechanic near me in bangalore,"index,follow",https://fiixup.in/bangalore/bike-mechanic-near-me,Yes,KEEP,
